bien.type,bien.superficie_totale,bien.superficie_habitable,bien.nombre_pieces,bien.nombre_chambres,bien.nombre_salles_bain,bien.etat_general,localisation.gouvernorat,localisation.delegation,localisation.ville,localisation.coordonnees.latitude,localisation.coordonnees.longitude,equipements.climatisation,equipements.chauffage,equipements.ascenseur,equipements.garage,equipements.cave,equipements.terrasse,equipements.balcon,equipements.jardin,equipements.piscine,equipements.cuisine_equipee,equipements.double_vitrage,equipements.interphone,equipements.videophone,equipements.alarme,equipements.gardiennage,equipements.dressing,equipements.cuisine_americaine,equipements.concierge,equipements.salle_de_sport,is_vente,label_conflict,prix_per_m2_log,log_superficie,log_nombre_pieces,nb_equipements,jours_depuis_publication,has_coordinates,coastal_premium,size_category
Appartement,86.0,80.0,2.0,2.0,1.0,Neuf,Autres,Autres,Chatt Meriem,35.82046,10.63456,False,"Radiateur, Climatisation",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.3323696543515733,4.465908118654584,1.0986122886681098,0,681.0,1,0,1
Appartement,110.0,100.0,3.0,2.0,1.0,Bon,Autres,Autres,Sousse Khezama,35.83348,10.61003,False,"Radiateur, Central",True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,0,False,2.3116349285139637,4.709530201312334,1.3862943611198906,4,677.0,1,0,1
Appartement,86.0,80.0,2.0,2.0,1.0,Neuf,Autres,Autres,Chatt Meriem,35.87808,10.57073,False,Climatisation,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,0,False,2.704944608544057,4.465908118654584,1.0986122886681098,5,667.0,1,0,1
Appartement,86.0,80.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.91297,10.56249,False,Climatisation,True,False,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False,0,False,2.704944608544057,4.465908118654584,1.0986122886681098,8,8.0,1,0,1
Appartement,170.0,122.0,4.0,2.0,1.0,Bon,Sousse,Autres,Hammam Sousse,35.88529,10.58807,False,"Radiateur, Climatisation, Central",True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,0,False,2.4499903846817723,5.14166355650266,1.6094379124341003,6,661.0,1,1,3
Appartement,76.5,80.0,3.0,2.0,1.0,Bon,Sousse,Autres,Hergla,36.03329,10.50863,False,"Radiateur, Climatisation",False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,0,False,2.8145864958490483,4.350277936359301,1.3862943611198906,3,656.0,1,1,0
Appartement,75.0,65.0,2.0,2.0,1.0,Bon,Sousse,Autres,El Kantaoui,35.89419,10.59822,False,Central,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.5649493574615367,4.330733340286331,1.0986122886681098,1,120.0,1,1,0
Appartement,138.2,,3.0,2.0,1.0,Bon,Sousse,Autres,El Kantaoui,35.89025,10.59273,False,Central,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,0,False,2.4726514457479323,4.935911747900319,1.3862943611198906,4,446.0,1,1,2
Appartement,67.0,70.0,3.0,2.0,1.0,Bon,Autres,Autres,Tantana,35.9213,10.57576,False,Climatisation,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,0,False,2.7679136319107873,4.219507705176107,1.3862943611198906,4,604.0,1,0,0
Appartement,150.0,120.0,3.0,2.0,1.0,Bon,Autres,Autres,Sousse Khezama,35.85144,10.6084,False,Central,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,0,False,2.662587827025453,5.017279836814924,1.3862943611198906,4,598.0,1,0,3
Appartement,90.5,60.0,2.0,2.0,1.0,Bon,Autres,Autres,Monastir,35.77566,10.76774,False,Climatisation,True,False,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False,0,False,2.897406501695276,4.516338972281476,1.0986122886681098,8,360.0,1,0,1
Appartement,150.0,130.0,4.0,2.0,1.0,Bon,Autres,Autres,Autres,35.84617,10.6036,False,"Radiateur, Climatisation",False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0,False,2.5649493574615367,5.017279836814924,1.6094379124341003,3,586.0,1,0,3
Appartement,102.0,65.0,2.0,2.0,1.0,Bon,Autres,Autres,Tantana,35.83533,10.60109,False,Climatisation,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,0,False,2.333475580013384,4.634728988229636,1.0986122886681098,6,5.0,1,0,1
Appartement,86.0,80.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.87806,10.57013,False,Climatisation,True,False,False,False,False,False,True,False,True,False,True,True,True,False,False,True,False,0,False,2.9146231059412857,4.465908118654584,1.0986122886681098,7,536.0,1,0,1
Appartement,50.0,50.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.93601,10.54792,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.5649493574615367,3.9318256327243257,1.0986122886681098,0,535.0,1,0,0
Appartement,50.0,50.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.93695,10.54752,False,Sans chauffage,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.5649493574615367,3.9318256327243257,1.0986122886681098,0,534.0,1,0,0
Appartement,80.0,80.0,3.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.93123,10.54346,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.3978952727983707,4.394449154672439,1.3862943611198906,0,534.0,1,0,0
Appartement,200.0,100.0,3.0,2.0,1.0,Neuf,Autres,Autres,Chatt Meriem,35.93646,10.54913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1.791759469228055,5.303304908059076,1.3862943611198906,0,534.0,1,0,3
Appartement,350.0,250.0,7.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,35.93128,10.5424,False,"Radiateur, Climatisation, Central",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,False,1.6094379124341003,5.860786223465865,2.0794415416798357,1,516.0,1,0,4
Appartement,120.0,100.0,3.0,2.0,1.0,Bon,Sousse,Autres,El Kantaoui,35.89035,10.59373,False,"Radiateur, Climatisation",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,2.3978952727983707,4.795790545596741,1.3862943611198906,0,501.0,1,1,2
Appartement,86.0,60.0,2.0,2.0,1.0,Bon,Autres,Autres,Chatt Meriem,36.82173,10.18176,False,Climatisation,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,0,False,2.704944608544057,4.465908118654584,1.0986122886681098,5,484.0,1,0,1
